date,Mkt-RF,SMB,HML,RMW,CMA,RF
1963-07-31,-0.39,-0.48,-0.81,0.64,-1.15,0.27
1963-08-31,5.08,-0.8,1.7,0.4,-0.38,0.25
1963-09-30,-1.57,-0.43,0.0,-0.78,0.15,0.27
1963-10-31,2.54,-1.34,-0.04,2.79,-2.25,0.29
1963-11-30,-0.86,-0.85,1.73,-0.43,2.27,0.27
1963-12-31,1.83,-1.89,-0.21,0.12,-0.25,0.29
1964-01-31,2.27,0.1,1.63,0.21,1.48,0.3
1964-02-29,1.55,0.33,2.81,0.11,0.81,0.26
1964-03-31,1.41,1.41,3.29,-2.03,2.98,0.31
1964-04-30,0.11,-1.48,-0.54,-1.32,-1.13,0.29
1964-05-31,1.41,-0.62,1.81,-0.15,0.13,0.26
1964-06-30,1.27,0.13,0.68,-0.33,0.1,0.3
1964-07-31,1.74,0.5,0.79,0.15,1.85,0.3
1964-08-31,-1.44,0.29,0.07,0.15,0.31,0.28
1964-09-30,2.69,-0.34,1.72,-0.5,0.56,0.28
1964-10-31,0.6,0.9,1.08,-0.2,0.52,0.29
1964-11-30,-0.01,-0.24,-2.04,0.71,-0.16,0.29
1964-12-31,0.04,-0.65,-2.43,0.95,-1.55,0.31
1965-01-31,3.54,2.5,0.36,0.94,-0.02,0.28
1965-02-28,0.44,3.24,0.22,0.26,-0.62,0.3
1965-03-31,-1.34,2.08,1.15,-0.29,0.65,0.36
1965-04-30,3.11,1.14,0.73,0.29,-2.27,0.31
1965-05-31,-0.78,0.05,-1.55,-0.42,0.59,0.31
1965-06-30,-5.51,-4.2,0.23,0.24,0.43,0.35
1965-07-31,1.44,1.1,2.19,-1.41,-0.08,0.31
1965-08-31,2.73,2.77,-0.98,2.03,-0.81,0.33
1965-09-30,2.86,0.7,-0.14,-0.85,0.73,0.31
1965-10-31,2.6,3.45,1.55,1.19,-0.76,0.31
1965-11-30,-0.02,5.22,0.16,-1.08,-0.87,0.35
1965-12-31,1.01,2.62,2.15,-1.3,-0.55,0.33
1966-01-31,0.72,4.85,3.27,-2.65,-0.26,0.38
1966-02-28,-1.21,4.79,0.38,-0.16,-1.45,0.35
1966-03-31,-2.51,0.21,-2.13,1.29,-0.05,0.38
1966-04-30,2.13,3.33,-0.36,0.42,-0.92,0.34
1966-05-31,-5.67,-5.11,-1.6,1.64,-1.48,0.41
1966-06-30,-1.44,1.32,0.49,0.08,0.79,0.38
1966-07-31,-1.63,-0.38,0.91,-0.38,1.74,0.35
1966-08-31,-7.94,-3.15,0.5,-0.64,0.77,0.41
1966-09-30,-1.06,-1.02,0.48,-1.19,2.35,0.4
1966-10-31,3.86,-6.48,2.74,-3.91,4.23,0.45
1966-11-30,1.38,3.34,-4.63,4.66,-6.51,0.4
1966-12-31,0.13,1.88,-0.95,0.17,-0.16,0.4
1967-01-31,8.15,8.98,2.36,1.29,-3.06,0.43
1967-02-28,0.77,3.01,-2.26,1.66,-0.93,0.36
1967-03-31,4.0,1.77,0.47,0.82,-1.5,0.39
1967-04-30,3.89,0.43,-2.29,3.09,-3.72,0.32
1967-05-31,-4.32,2.45,0.8,-1.19,1.62,0.33
1967-06-30,2.42,6.42,0.8,-0.84,-2.49,0.27
1967-07-31,4.58,3.58,2.75,0.45,2.66,0.32
1967-08-31,-0.9,0.77,1.43,0.3,1.35,0.31
1967-09-30,3.11,2.43,-2.47,0.22,-0.93,0.32
1967-10-31,-3.08,0.57,-3.29,0.97,-2.74,0.39
1967-11-30,0.37,-0.06,-1.71,1.31,-2.28,0.36
1967-12-31,3.05,5.59,-0.54,-0.74,-0.03,0.33
1968-01-31,-4.03,4.68,4.85,-4.89,6.46,0.4
1968-02-29,-3.74,-2.92,1.23,-0.08,2.46,0.39
1968-03-31,0.21,-1.55,-0.63,1.07,-1.15,0.38
1968-04-30,9.01,6.17,-1.1,2.79,-3.73,0.43
1968-05-31,2.28,6.97,0.82,0.49,-1.92,0.45
1968-06-30,0.7,-0.33,0.66,-1.56,2.8,0.43
1968-07-31,-2.69,-1.39,5.31,-3.18,3.79,0.48
1968-08-31,1.35,2.33,0.99,-0.66,0.47,0.42
1968-09-30,4.05,2.81,0.3,-1.94,0.87,0.43
1968-10-31,0.44,-0.43,2.82,-1.36,2.84,0.44
1968-11-30,5.42,2.39,-0.96,0.44,-2.51,0.42
1968-12-31,-3.93,3.55,0.04,-1.91,1.93,0.43
1969-01-31,-1.25,-0.42,1.66,-1.52,1.29,0.53
1969-02-28,-5.86,-4.16,0.89,1.99,0.75,0.46
1969-03-31,2.67,-0.51,-0.42,-1.34,-0.44,0.46
1969-04-30,1.47,-0.78,0.02,0.28,-0.16,0.53
1969-05-31,-0.1,-0.18,0.62,-0.87,1.05,0.48
1969-06-30,-7.18,-5.47,-1.1,4.27,-1.63,0.51
1969-07-31,-7.0,-3.39,1.18,1.51,1.84,0.53
1969-08-31,4.69,0.58,-3.75,1.06,-3.98,0.5
1969-09-30,-2.97,1.29,-3.22,3.36,-0.62,0.62
1969-10-31,5.05,3.91,-3.12,0.08,-2.08,0.6
1969-11-30,-3.8,-2.42,-1.25,1.4,0.21,0.52
1969-12-31,-2.63,-3.72,-2.88,2.55,-1.92,0.64
1970-01-31,-8.11,3.08,3.17,-1.75,3.96,0.6
1970-02-28,5.14,-2.57,3.69,-2.41,2.87,0.62
1970-03-31,-1.06,-2.42,4.08,-1.06,4.42,0.57
1970-04-30,-10.99,-6.34,6.14,-0.63,5.9,0.5
1970-05-31,-6.91,-4.46,3.32,-1.29,3.79,0.53
1970-06-30,-5.8,-2.1,0.44,0.14,2.71,0.58
1970-07-31,6.92,-0.66,0.93,-0.3,1.72,0.52
1970-08-31,4.5,1.44,1.41,0.57,-0.14,0.53
1970-09-30,4.18,8.5,-5.41,0.25,-5.98,0.54
1970-10-31,-2.28,-4.36,0.21,1.81,2.25,0.46
1970-11-30,4.62,-3.88,1.58,1.53,1.39,0.46
1970-12-31,5.74,2.89,1.04,0.28,0.3,0.42
1971-01-31,4.83,7.44,1.55,-2.02,-0.06,0.38
1971-02-28,1.41,2.01,-1.24,0.64,-0.8,0.33
1971-03-31,4.12,2.22,-3.95,1.78,-2.65,0.3
1971-04-30,3.15,-0.36,0.86,-1.46,0.85,0.28
