column,missing_share,dataset
AM,0.0,openap_factors
Accruals,0.0,openap_factors
AssetGrowth,0.0,openap_factors
BM,0.0,openap_factors
BMdec,0.0,openap_factors
BPEBM,0.0,openap_factors
Beta,0.0,openap_factors
BetaFP,0.0,openap_factors
BetaTailRisk,0.0,openap_factors
BidAskSpread,0.0,openap_factors
BookLeverage,0.0,openap_factors
CBOperProf,0.0,openap_factors
CF,0.0,openap_factors
CashProd,0.0,openap_factors
ChAssetTurnover,0.0,openap_factors
ChEQ,0.0,openap_factors
ChInv,0.0,openap_factors
ChInvIA,0.0,openap_factors
ChNNCOA,0.0,openap_factors
ChNWC,0.0,openap_factors
ChTax,0.0,openap_factors
CompEquIss,0.0,openap_factors
CompositeDebtIssuance,0.0,openap_factors
ConvDebt,0.0,openap_factors
CoskewACX,0.0,openap_factors
Coskewness,0.0,openap_factors
DelCOA,0.0,openap_factors
DelCOL,0.0,openap_factors
DelEqu,0.0,openap_factors
DelFINL,0.0,openap_factors
DelLTI,0.0,openap_factors
DelNetFin,0.0,openap_factors
DivInit,0.0,openap_factors
DivSeason,0.0,openap_factors
DivYieldST,0.0,openap_factors
DolVol,0.0,openap_factors
EBM,0.0,openap_factors
EP,0.0,openap_factors
EarnSupBig,0.0,openap_factors
EarningsConsistency,0.0,openap_factors
EarningsSurprise,0.0,openap_factors
EntMult,0.0,openap_factors
EquityDuration,0.0,openap_factors
ExchSwitch,0.0,openap_factors
FirmAge,0.0,openap_factors
Frontier,0.0,openap_factors
GP,0.0,openap_factors
GrLTNOA,0.0,openap_factors
GrSaleToGrInv,0.0,openap_factors
GrSaleToGrOverhead,0.0,openap_factors
Herf,0.0,openap_factors
HerfAsset,0.0,openap_factors
HerfBE,0.0,openap_factors
High52,0.0,openap_factors
IdioVol3F,0.0,openap_factors
IdioVolAHT,0.0,openap_factors
Illiquidity,0.0,openap_factors
IndMom,0.0,openap_factors
IndRetBig,0.0,openap_factors
IntMom,0.0,openap_factors
IntanCFP,0.0,openap_factors
IntanEP,0.0,openap_factors
IntanSP,0.0,openap_factors
InvGrowth,0.0,openap_factors
InvestPPEInv,0.0,openap_factors
Investment,0.0,openap_factors
LRreversal,0.0,openap_factors
Leverage,0.0,openap_factors
MRreversal,0.0,openap_factors
MaxRet,0.0,openap_factors
MeanRankRevGrowth,0.0,openap_factors
Mom12m,0.0,openap_factors
Mom12mOffSeason,0.0,openap_factors
Mom6m,0.0,openap_factors
MomOffSeason,0.0,openap_factors
MomOffSeason06YrPlus,0.0,openap_factors
MomOffSeason11YrPlus,0.0,openap_factors
MomOffSeason16YrPlus,0.0,openap_factors
MomRev,0.0,openap_factors
MomSeason,0.0,openap_factors
MomSeason06YrPlus,0.0,openap_factors
MomSeason11YrPlus,0.0,openap_factors
MomSeason16YrPlus,0.0,openap_factors
MomSeasonShort,0.0,openap_factors
MomVol,0.0,openap_factors
NOA,0.0,openap_factors
NetDebtPrice,0.0,openap_factors
NetPayoutYield,0.0,openap_factors
OPLeverage,0.0,openap_factors
OperProf,0.0,openap_factors
OperProfRD,0.0,openap_factors
OrgCap,0.0,openap_factors
PayoutYield,0.0,openap_factors
Price,0.0,openap_factors
RD,0.0,openap_factors
RDAbility,0.0,openap_factors
RIO_MB,0.0,openap_factors
RIO_Turnover,0.0,openap_factors
RIO_Volatility,0.0,openap_factors
RealizedVol,0.0,openap_factors
ResidualMomentum,0.0,openap_factors
ReturnSkew,0.0,openap_factors
ReturnSkew3F,0.0,openap_factors
RevenueSurprise,0.0,openap_factors
RoE,0.0,openap_factors
SP,0.0,openap_factors
STreversal,0.0,openap_factors
ShareIss1Y,0.0,openap_factors
ShareIss5Y,0.0,openap_factors
ShareVol,0.0,openap_factors
Size,0.0,openap_factors
Spinoff,0.0,openap_factors
SurpriseRD,0.0,openap_factors
Tax,0.0,openap_factors
TotalAccruals,0.0,openap_factors
TrendFactor,0.0,openap_factors
VarCF,0.0,openap_factors
VolMkt,0.0,openap_factors
VolSD,0.0,openap_factors
VolumeTrend,0.0,openap_factors
dNoa,0.0,openap_factors
grcapx,0.0,openap_factors
grcapx3y,0.0,openap_factors
sinAlgo,0.0,openap_factors
std_turn,0.0,openap_factors
tang,0.0,openap_factors
zerotrade12M,0.0,openap_factors
zerotrade1M,0.0,openap_factors
zerotrade6M,0.0,openap_factors
DivOmit,0.0013550135501355014,openap_factors
PriceDelayRsq,0.005420054200542005,openap_factors
PriceDelaySlope,0.005420054200542005,openap_factors
PriceDelayTstat,0.005420054200542005,openap_factors
NumEarnIncrease,0.008130081300813009,openap_factors
FirmAgeMom,0.01084010840108401,openap_factors
BetaLiquidityPS,0.014905149051490514,openap_factors
AdExp,0.016260162601626018,openap_factors
PctAcc,0.016260162601626018,openap_factors
cfp,0.016260162601626018,openap_factors
AccrualsBM,0.017615176151761516,openap_factors
BrandInvest,0.032520325203252036,openap_factors
GrAdExp,0.032520325203252036,openap_factors
hire,0.032520325203252036,openap_factors
IntanBM,0.04878048780487805,openap_factors
roaq,0.04878048780487805,openap_factors
CredRatDG,0.10840108401084012,openap_factors
Mom6mJunk,0.10840108401084012,openap_factors
realestate,0.11382113821138211,openap_factors
OrderBacklog,0.13008130081300814,openap_factors
AnnouncementReturn,0.13279132791327913,openap_factors
Cash,0.13414634146341464,openap_factors
DebtIssuance,0.13821138211382114,openap_factors
OScore,0.13821138211382114,openap_factors
PS,0.13821138211382114,openap_factors
AbnormalAccruals,0.14634146341463414,openap_factors
NetDebtFinance,0.14634146341463414,openap_factors
NetEquityFinance,0.14634146341463414,openap_factors
OrderBacklogChg,0.14634146341463414,openap_factors
ShareRepurchase,0.14634146341463414,openap_factors
XFIN,0.14634146341463414,openap_factors
ShortInterest,0.15582655826558264,openap_factors
RDS,0.16260162601626016,openap_factors
IndIPO,0.19241192411924118,openap_factors
FEPS,0.2046070460704607,openap_factors
ForecastDispersion,0.2046070460704607,openap_factors
MS,0.2046070460704607,openap_factors
RIO_Disp,0.2046070460704607,openap_factors
retConglomerate,0.2046070460704607,openap_factors
AnalystRevision,0.20596205962059622,openap_factors
AOP,0.21138211382113822,openap_factors
AnalystValue,0.21138211382113822,openap_factors
ChForecastAccrual,0.21138211382113822,openap_factors
REV6,0.2140921409214092,openap_factors
sfe,0.22357723577235772,openap_factors
RDIPO,0.22493224932249323,openap_factors
CitationsRD,0.22764227642276422,openap_factors
CustomerMomentum,0.22764227642276422,openap_factors
ChNAnalyst,0.24390243902439024,openap_factors
IO_ShortInterest,0.2669376693766938,openap_factors
DelBreadth,0.2764227642276423,openap_factors
RDcap,0.2764227642276423,openap_factors
AgeIPO,0.2845528455284553,openap_factors
FR,0.2926829268292683,openap_factors
EarningsForecastDisparity,0.3008130081300813,openap_factors
fgr5yrLag,0.3089430894308943,openap_factors
PredictedFE,0.3252032520325203,openap_factors
ExclExp,0.33875338753387535,openap_factors
EarningsStreak,0.34688346883468835,openap_factors
betaVIX,0.36720867208672087,openap_factors
iomom_cust,0.36720867208672087,openap_factors
iomom_supp,0.36720867208672087,openap_factors
PatentsRD,0.3943089430894309,openap_factors
PctTotAcc,0.4065040650406504,openap_factors
ConsRecomm,0.4932249322493225,openap_factors
ChangeInRecommendation,0.494579945799458,openap_factors
DownRecomm,0.494579945799458,openap_factors
Recomm_ShortInterest,0.494579945799458,openap_factors
UpRecomm,0.494579945799458,openap_factors
OptionVolume1,0.551490514905149,openap_factors
OptionVolume2,0.5528455284552846,openap_factors
CPVolSpread,0.5609756097560976,openap_factors
